NIST Action ID,NIST Title,NIST GAI Risks,Link to IBM risk atlas ,AI Actor Tasks,Source,,,,,Notes
MP-4.1-008,"Re-evaluate risks when adapting GAI models to new domains. Additionally, establish warning systems to determine if a GAI system is being used in a new domain where previous assumptions (relating to context of use or mapped risk s such as security, and safety) may no longer hold.","CBRN Information or Capabilities ; Intellectual Property; Harmful Bias and Homogenization ; Dangerous, Violent, or Hateful Content ; Data Privacy",,"Governance and Oversight, Operation and Monitoring, Procurement, Third-party entities",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MP-4.1-009,"Leverage approaches to detect the presence of PII or sensitive data in generated output text, image, video, or audio .",Data Privacy,,"Governance and Oversight, Operation and Monitoring, Procurement, Third-party entities",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MP-4.1-010,"Conduct appropriate diligence on training data use to assess intellectual property, and privacy, risks, including to examine whether use of proprietary or sensitive training data is consistent with applicable laws.",Intellectual Property; Data Privacy,,"Governance and Oversight, Operation and Monitoring, Procurement, Third-party entities",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MP-5.1-001,"Apply TEVV practices for content provenance (e.g., probing a system's synthetic data generation capabilities for potential misuse or vulnerabilities .",Information Integrity ; Information Security,,"AI Deployment, AI Design, AI Development, AI Impact Assessment, Aﬀected Individuals and Communities, End-Users, Operation and Monitoring",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MP-5.1-002,"Identify potential content provenance harms of GAI, such as misinformation or disinformation, deepfakes, including NCII, or tampered content. Enumerate and rank risks based on their likelihood and potential impact, and determine how well provenance solutions address specific risks and/or harms.","Information Integrity ; Dangerous, Violent, or Hateful Content ; Obscene, Degrading, and/or Abusive Content",,"AI Deployment, AI Design, AI Development, AI Impact Assessment, Aﬀected Individuals and Communities, End-Users, Operation and Monitoring",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MP-5.1-003,"Consider disclosing use of GAI to end users in relevant contexts, while considering the objective of disclosure, the context of use, the likelihood and magnitude of the risk posed, the audience of the disclosure, as well as the frequency of the disclosures.",Human-AI Configuration,,"AI Deployment, AI Design, AI Development, AI Impact Assessment, Aﬀected Individuals and Communities, End-Users, Operation and Monitoring",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MP-5.1-004,Prioritize GAI structured public feedback processes based on risk assessment estimates.,"Information Integrity ; CBRN Information or Capabilities ; Dangerous, Violent, or Hateful Content; Harmful Bias and Homogenization",,"AI Deployment, AI Design, AI Development, AI Impact Assessment, Aﬀected Individuals and Communities, End-Users, Operation and Monitoring",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MP-5.1-005,"Conduct adversarial role-playing exercises, GAI red-teaming, or chaos testing to identify anomalous or unforeseen failure modes.",Information Security,,"AI Deployment, AI Design, AI Development, AI Impact Assessment, Aﬀected Individuals and Communities, End-Users, Operation and Monitoring",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MP-5.1-006,"Profile threats and negative impacts arising from GAI systems interacting with, manipulating, or generating content, and outlining known and potential vulnerabilities and the likelihood of their occurrence.",Information Security,,"AI Deployment, AI Design, AI Development, AI Impact Assessment, Aﬀected Individuals and Communities, End-Users, Operation and Monitoring",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MP-5.2-001,"Determine context-based measures to identify if new impacts are present due to the GAI system, including regular engagements with downstream AI Actors to identify and quantify new contexts of unanticipated impacts of GAI systems.", Human-AI Configuration ; Value Chain and Component Integration,,"AI Deployment, AI Design, AI Impact Assessment, Aﬀected Individuals and Communities, Domain Experts, End-Users, Human Factors, Operation and Monitoring",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MP-5.2-002,"Plan regular engagements with AI Actors responsible for inputs to GAI systems, including third-party data and algorithms, to review and evaluate unanticipated impacts.","Human-AI Configuration ; Value Chain and Component Integration",,"AI Deployment, AI Design, AI Impact Assessment, Aﬀected Individuals and Communities, Domain Experts, End-Users, Human Factors, Operation and Monitoring",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-1.1-001,Employ methods to trace the origin and modifications of digital content .,Information Integrity,,"AI Development, Domain Experts, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-1.1-002,"Integrate tools designed to analyze content provenance and detect data anomalies, verify the authenticity of digital signatures, and identify patterns associated with misinformation or manipulation.",Information Integrity,,"AI Development, Domain Experts, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-1.1-003,Disaggregate evaluation metrics by demographic factors to identify any discrepancies in how content provenance mechanisms work across diverse populations.,Information Integrity ; Harmful Bias and Homogenization,,"AI Development, Domain Experts, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-1.1-004,Develop a suite of metrics to evaluate structured public feedback exercises informed by representative AI Actors.,Human-AI Configuration ; Harmful Bias and Homogenization ; CBRN Information or Capabilities,,"AI Development, Domain Experts, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-1.1-005,"Evaluate novel methods and technologies for the measurement of G AI-related risks in cluding in content provenance, offensive cyber, and CBRN, while maintaining the models' ability to produce valid, reliable, and factually accurate outputs.","Information Integrity ; CBRN Information or Capabilities ; Obscene, Degrading, and/or Abusive Content",,"AI Development, Domain Experts, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-1.1-006,Implement continuous monitoring of GAI system impacts to identify whether GAI outputs are equitable across various sub-populations. Seek active and direct feedback from affected communities via structured feedback mechanisms or red-teaming to monitor and improve outputs.,Harmful Bias and Homogenization,,"AI Development, Domain Experts, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-1.1-007,"Evaluate the quality and integrity of data used in training and the provenance of AI-generated content, for example by e mploying techniques like chaos engineering and seeking stakeholder feedback.",Information Integrity,,"AI Development, Domain Experts, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-1.1-008,"Define use cases, contexts of use, capabilities, and negative impacts where structured human feedback exercises, e.g., GAI red-teaming, would be most beneficial for GAI risk measurement and management based on the context of use.",Harmful Bias and Homogenization ; CBRN Information or Capabilities,,"AI Development, Domain Experts, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-1.1-009,"Track and document risks or opportunities related to all GAI risks that cannot be measured quantitatively, including explanations as to why some risks cannot be measured (e.g., due to technological limitations, resource constraints, or trustworthy considerations). Include unmeasured risks in marginal risks.",Information Integrity,,"AI Development, Domain Experts, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-1.3-001,"Define relevant groups of interest (e.g., demographic groups, subject matter experts, experience with GAI technology) within the context of use as part of plans for gathering structured public feedback.",Human-AI Configuration ; Harmful Bias and Homogenization ; CBRN Information or Capabilities,,"AI Deployment, AI Development, AI Impact Assessment, Aﬀected Individuals and Communities, Domain Experts, End-Users, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-1.3-002,"Engage in internal and external evaluations, G AI red-teaming, impact assessments, or other structured human feedback exercises in consultation with representative AI Actors with expertise and familiarity in the context of use, and/or who are representative of the populations associated with the context of use.",Human-AI Configuration ; Harmful Bias and Homogenization ; CBRN Information or Capabilities,,"AI Deployment, AI Development, AI Impact Assessment, Aﬀected Individuals and Communities, Domain Experts, End-Users, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-1.3-003,Verify those conducting structured human feedback exercises are not directly involved in system development tasks for the same GAI model.,Human-AI Configuration ; Data Privacy,,"AI Deployment, AI Development, AI Impact Assessment, Aﬀected Individuals and Communities, Domain Experts, End-Users, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.2-001,"Assess and manage statistical biases related to GAI content provenance through techniques such as re-sampling, re-weighting, or adversarial training.",Information Integrity ; Information Security; Harmful Bias and Homogenization,,"AI Development, Human Factors, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.2-002,Document how content provenance data is tracked and how that data interacts with privacy and security. Consider : Anonymiz ing data to protect the privacy of human subjects; Leverag ing privacy output filters; Remov ing any personally identifiable information (PII) to prevent potential harm or misuse.,"Data Privacy; Human AI Configuration ; Information Integrity; Information Security ; Dangerous, Violent, or Hateful Content",,"AI Development, Human Factors, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.2-003,Provide human subjects with options to withdraw participation or revoke their consent for present or future use of their data in GAI applications .,Data Privacy; Human-AI Configuration ; Information Integrity,,"AI Development, Human Factors, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.2-004,"Use techniques such as anonymization, differential privacy or other privacy-enhancing technologies to minimize the risks associated with linking AI-generated content back to individual human subjects.",Data Privacy; Human-AI Configuration,,"AI Development, Human Factors, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.3-001,Consider baseline model performance on suites of benchmarks when selecting a model for fine tuning or enhancement with retrieval-augmented generation .,Information Security ; Confabulation,,"AI Deployment, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.3-002,Evaluate claims of model capabilities using empirically validated methods.,Confabulation ; Information Security,,"AI Deployment, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.3-003,"Share results of pre-deployment testing with relevant GAI Actors, such as those with system release approval authority.",Human-AI Configuration,,"AI Deployment, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.3-004,Utilize a purpose-built testing environment such as NIST Dioptra to empirically evaluate GAI trustworthy characteristics.,"CBRN Information or Capabilities ; Data Privacy; Confabulation ; Information Integrity ; Information Security; Dangerous, Violent, or Hateful Content; Harmful Bias and Homogenization",,"AI Deployment, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.5-001,"Avoid extrapolating GAI system performance or capabilities from narrow, non-systematic, and anecdotal assessments.",Human-AI Configuration ; Confabulation,,"Domain Experts, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.5-002,"Document the extent to which human domain knowledge is employed to improve GAI system performance, via, e.g., RLHF, fine-tuning, retrieval-augmented generation, content moderation, business rules.",Human-AI Configuration,,"Domain Experts, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.5-003,Review and verify sources and citations in GAI system outputs during pre deployment risk measurement and ongoing monitoring activities.,Confabulation,,"Domain Experts, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.5-004,"Track and document instances of anthropomorphization (e.g., human images, mentions of human feelings, cyborg imagery or motifs) in GAI system interfaces.",Human-AI Configuration,,"Domain Experts, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.5-005,"Verify GAI system training data and TEVV data provenance, and that fine-tuning or retrieval-augmented generation data is grounded.",Information Integrity,,"Domain Experts, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.5-006,"Regularly review security and safety guardrails, especially if the GAI system is being operated in novel circumstances. This includes reviewing reasons why the GAI system was initially assessed as being safe to deploy.","Information Security ; Dangerous, Violent, or Hateful Content",,"Domain Experts, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.6-001,"Assess adverse impacts, including health and wellbeing impacts for value chain or other AI Actors that are exposed to sexually explicit, offensive, or violent information during GAI training and maintenance.","Human-AI Configuration ; Obscene, Degrading, and/or Abusive Content; Value Chain and Component Integration ; Dangerous, Violent, or Hateful Content",,"AI Deployment, AI Impact Assessment, Domain Experts, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.6-002,"Assess existence or levels of harmful bias, intellectual property infringement, data privacy violations, obscenity, extremism, violence, or CBRN information in system training data.","Data Privacy; Intellectual Property; Obscene, Degrading, and/or Abusive Content; Harmful Bias and Homogenization ; Dangerous, Violent, or Hateful Content ; CBRN Information or Capabilities",,"AI Deployment, AI Impact Assessment, Domain Experts, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.6-003,Re-evaluate safety features of fine-tuned models when the negative risk exceeds organizational risk tolerance.,"Dangerous, Violent, or Hateful Content",,"AI Deployment, AI Impact Assessment, Domain Experts, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.6-004,Review GAI system outputs for validity and safety: Review generated code to assess risks that may arise from unreliable downstream decision-making.,"Value Chain and Component Integration ; Dangerous, Violent, or Hateful Content",,"AI Deployment, AI Impact Assessment, Domain Experts, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.6-005,"Verify that GAI system architecture can monitor outputs and performance, and handle, recover from, and repair errors when security anomalies, threats and impacts are detected.",Confabulation ; Information Integrity; Information Security,,"AI Deployment, AI Impact Assessment, Domain Experts, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.6-006,"Verify that systems properly handle queries that may give rise to inappropriate, malicious, or illegal usage, including facilitating manipulation, extortion, targeted impersonation, cyber-attacks, and weapons creation.",CBRN Information or Capabilities ; Information Security,,"AI Deployment, AI Impact Assessment, Domain Experts, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.6-007,Regularly evaluate GAI system vulnerabilities to possible circumventi on of safety measures.,CBRN Information or Capabilities ; Information Security,,"AI Deployment, AI Impact Assessment, Domain Experts, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.7-001,"Apply established security measures to: Assess likelihood and magnit ude of vulnerabilities and threats such as backdoors, compromised dependencies, data breaches, eavesdropping, man-in-the-middle attacks, reverse engineering, autonomous agents, model theft or exposure of model weights, AI inference, bypass, extraction, and other baseline security concerns.",Data Privacy; Information Integrity ; Information Security ; Value Chain and Component Integration,,"AI Deployment, AI Impact Assessment, Domain Experts, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.7-002,Benchmark GAI system security and resilience related to content provenance against industry standards and best practices. Compare GAI system security features and content provenance methods against industry state-of-the-art.,Information Integrity ; Information Security,,"AI Deployment, AI Impact Assessment, Domain Experts, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.7-003,Conduct user surveys to gather user satisfaction with the AI-generated content and user perceptions of content authenticity. Analyze user feedback to identify concerns and/or current literacy levels related to content provenance and understanding of labels on content.,Human-AI Configuration ; Information Integrity,,"AI Deployment, AI Impact Assessment, Domain Experts, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.7-004,"Identify metrics that reflect the effectiveness of security measures, such as data provenance, the number of unauthorized access attempts, inference, bypass, extraction, penetrations, or provenance verification.",Information Integrity ; Information Security,,"AI Deployment, AI Impact Assessment, Domain Experts, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.7-005,"Measure reliability of content authentication methods, such as watermarking, cryptographic signatures, digital fingerprints, as well as access controls, conformity assessment, and model integrity verification, which can help support the effective implementation of content provenance techniques. Evaluate the rate of false positives and false negatives in content provenance, as well as true positives and true negatives for verification.",Information Integrity,,"AI Deployment, AI Impact Assessment, Domain Experts, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.7-006,Measure the rate at which recommendations from security checks and incidents are implemented. Assess how quickly the AI system can adapt and improve based on lessons learned from security incidents and feedback .,Information Integrity ; Information Security,,"AI Deployment, AI Impact Assessment, Domain Experts, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.7-007,"Perform AI red-teaming to assess resilience against: Abuse to facilitate attacks on other systems (e.g., malicious code generation, enhanced phishing content), GAI attacks (e.g., prompt injection), ML attacks (e.g., adversarial examples/prompts, data poisoning, membership inference, model extraction, sponge examples).","Information Security ; Harmful Bias and Homogenization ; Dangerous, Violent, or Hateful Content",,"AI Deployment, AI Impact Assessment, Domain Experts, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.7-008,Verify fine-tuning does not compromise safety and security controls.,"Information Integrity ; Information Security; Dangerous, Violent, or Hateful Content",,"AI Deployment, AI Impact Assessment, Domain Experts, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.7-009,Regularly assess and verify that security measures remain been compromised.,Information Security,,"AI Deployment, AI Impact Assessment, Domain Experts, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.8-001,"Compile statistics on actual policy violations, take-down requests, and intellectual property infringement for organizational GAI systems: Analyze transparency reports across demographic groups, languages groups .",Intellectual Property; Harmful Bias and Homogenization,,"AI Deployment, AI Impact Assessment, Domain Experts, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.8-002,Document the instructions given to data annotators or AI red-teamers.,Human-AI Configuration,,"AI Deployment, AI Impact Assessment, Domain Experts, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.8-003,"Use digital content transparency solutions to enable the documentation of each instance where content is generated, modified, or shared to provide a tamper-proof history of the content, promote transparency, and enable traceability. Robust version control systems can also be applied to track chang es across the AI lifecycle over time.",Information Integrity,,"AI Deployment, AI Impact Assessment, Domain Experts, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.8-004,Verify adequacy of GAI system user instructions through user testing.,Human-AI Configuration,,"AI Deployment, AI Impact Assessment, Domain Experts, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.9-001,"Apply and document ML explanation results such as: Analysis of embeddings, Counterfactual prompts, Gradient-based attributions, Model compression/surrogate models, Occlusion/term reduction.",Confabulation,,"AI Deployment, AI Impact Assessment, Domain Experts, End-Users, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.9-002,"Document GAI model details including: Proposed use and organizational value; Assumptions and limitations, Data collection methodologies; Data provenance; Data quality; Model architecture (e.g., convolutional neural network, transformers, etc.); Optimization objectives; Training algorithms; RLHF approaches; Fine-tuning or retrieval-augmented generation approaches; Evaluation data; Ethical considerations; Legal and regulatory requirements.",Information Integrity ; Harmful Bias and Homogenization,,"AI Deployment, AI Impact Assessment, Domain Experts, End-Users, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.10-001,"Conduct AI red-teaming to assess issues such as: Outputting of training data samples, and subsequent reverse engineering, model extraction, and membership inference risks; Revealing biometric, confidential, copyrighted, licensed, patented, personal, proprietary, sensitive, or trade-marked information ; Tracking or revealing location information of users or members of training datasets. Property",Human-AI Configuration ; Information Integrity; Intellectual,,"AI Deployment, AI Impact Assessment, Domain Experts, End-Users, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.10-002,"Engage directly with end-users and other stakeholders to understand their expectations and concerns regarding content provenance. Use this feedback to guide the design of provenance data-tracking techniques.""",Human-AI Configuration ; Information Integrity,,"AI Deployment, AI Impact Assessment, Domain Experts, End-Users, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.10-003,"Verify deduplication of GAI training data samples, particularly regarding synthetic data.",Harmful Bias and Homogenization,,"AI Deployment, AI Impact Assessment, Domain Experts, End-Users, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.11-001,"Apply use-case appropriate benchmarks (e.g., Bias Benchmark Questions, Real Hateful or Harmful Prompts, Winogender Schemas 15 ) to quantify systemic bias, stereotyping, denigration, and hateful content in GAI system outputs; Document assumptions and limitations of benchmarks, including any actual or possible training/test data cross contamination, relative to in-context deployment environment.",Harmful Bias and Homogenization,"data-bias, output-bias, decision-bias, lack-of-data-transparency, lack-of-model-transparency","AI Deployment, AI Impact Assessment, Affected Individuals and Communities, Domain Experts, End-Users, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.11-002,"Conduct fairness assessments to measure systemic bias. Measure GAI system performance across demographic groups and subgroups, addressing both quality of service and any allocation of services and resources. Quantify harms using: field testing with sub-gro up populations to determine likelihood of exposure to generated content exhibiting harmful bias, AI red-teaming with counterfactual and low-context (e.g., 'leader,' 'bad guys') prompts. For ML pipelines or business processes with categorical or numeric out comes that rely on GAI, apply general fairness metrics (e.g., demographic parity, equalized odds, equal opportunity, statistical hypothesis tests), to the pipeline or business outcome where appropriate; Custom, context-specific metrics developed in collabo ration with domain experts and affected communities; Measurements of the prevalence of denigration in generated content in deployment (e.g., sub-sampling a fraction of traffic and manually annotating denigrating content) .","Harmful Bias and Homogenization ; Dangerous, Violent, or Hateful Content",,"AI Deployment, AI Impact Assessment, Affected Individuals and Communities, Domain Experts, End-Users, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.11-003,"Identify the classes of individuals, groups, or environmental ecosystems which might be impacted by GAI systems through direct engagement with potentially impacted communities.",Environmental ; Harmful Bias and Homogenization,,"AI Deployment, AI Impact Assessment, Affected Individuals and Communities, Domain Experts, End-Users, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.11-004,"Review, document, and measure sources of bias in GAI training and TEVV data: Differences in distributions of outcomes across and within groups, including intersecting groups; Completeness, representativeness, and balance of data sources; demographic group and subgroup coverage in GAI system training data; Fo rms of latent systemic bias in images, text, audio, embeddings, or other complex or unstructured data; Input data features that may serve as proxies for demographic group membership (i.e., image metadata, language dialect) or otherwise give rise to emergent bias within GAI systems; The extent to which the digital divide may negatively impact representativeness in GAI system training and TEVV data; Filtering of hate speech or content in GAI system training data; Prevalence of GAI-generated data in GAI system training data.",Harmful Bias and Homogenization,,"AI Deployment, AI Impact Assessment, Affected Individuals and Communities, Domain Experts, End-Users, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.11-005,Assess the proportion of synthetic to non-synthetic training data and verify training data is not overly homogenous or GAI-produced to mitigate concerns of model collapse.,Harmful Bias and Homogenization,,"AI Deployment, AI Impact Assessment, Affected Individuals and Communities, Domain Experts, End-Users, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.12-001,Assess safety to physical environments when deploying GAI systems.,"Dangerous, Violent, or Hateful Content",,"AI Deployment, AI Impact Assessment, Domain Experts, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.12-002,"Document anticipated environmental impacts of model development, maintenance, and deployment in product design decisions.",Environmental,,"AI Deployment, AI Impact Assessment, Domain Experts, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.12-003,"Measure or estimate environmental impacts (e.g., energy and water consumption) for training, fine tuning, and deploying models: Verify tradeoffs between resources used at inference time versus additional resources required at training time.",Environmental,,"AI Deployment, AI Impact Assessment, Domain Experts, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.12-004,"Verify effectiveness of carbon capture or offset programs for GAI training and applications, and address green-washing concerns.",Environmental,,"AI Deployment, AI Impact Assessment, Domain Experts, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-2.13-001,"Create measurement error models for pre-deployment metrics to demonstrate construct validity for each metric (i.e., does the metric effectively operationalize the desired concept): Measure or estimate, and document, biases or statistical variance in applie d metrics or structured human feedback processes; Leverage domain expertise when modeling complex societal constructs such as hateful content.",Confabulation ; Information Integrity; Harmful Bias and Homogenization,,"AI Deployment, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-3.2-001,Establish processes for identifying emergent GAI system risks including consulting with external AI Actors.,Human-AI Configuration ; Confabulation,,"AI Impact Assessment, Domain Experts, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-3.3-001,"Conduct impact assessments on how AI-generated content might affect different social, economic, and cultural groups.",Harmful Bias and Homogenization,,"AI Deployment, Aﬀected Individuals and Communities, End-Users, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-3.3-002,Conduct studies to understand how end users perceive and interact with GAI content and accompanying content provenance within context of use. Assess whether the content aligns with their expectations and how they may act upon the information presented.,Human-AI Configuration ; Information Integrity,,"AI Deployment, Aﬀected Individuals and Communities, End-Users, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-3.3-003,"Evaluate potential biases and stereotypes that could emerge from the AI-generated content using appropriate methodologies including computational testing methods as well as evaluating structured feedback input.""",Harmful Bias and Homogenization,,"AI Deployment, Aﬀected Individuals and Communities, End-Users, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
MS-3.3-004,"Provide input for training materials about the capabilities and limitations of GAI systems related to digital content transparency for AI Actors, other professionals, and the public about the societal impacts of AI and the role of diverse and inclusive content generation.",Human-AI Configuration ; Information Integrity ; Harmful Bias and Homogenization,,"AI Deployment, Aﬀected Individuals and Communities, End-Users, Operation and Monitoring, TEVV",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,,,,
